state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
2070000	-317639.06243954203	-29998.701829858357	-287640.3606096837	2032.47185374031	-6.480072918392352	10800.814351836952	265.73109616977814	9.384878901377292E-4	7.947392160447216	0.36360208170565733	0.1880035253659951	0.19148873562725058	0.2569056573010957	0.003686589039320922	0.003686589039320923	-287640.3606096837	0.0	-29957.688461268783
2100000	-316107.3840983638	-29965.141814789204	-286142.2422835746	2033.1318408533302	-7.140060031412531	10785.044778668453	257.70322366185087	9.384878901377292E-4	8.120683040281646	0.3648293298918395	0.19226570360130033	0.18989511449588184	0.2530098520109771	0.003689624874301869	0.0036896248743018526	-286142.2422835746	0.0	-29924.146844649975
2130000	-314591.09606289736	-29933.6450342357	-284657.4510286616	2034.4656661115987	-8.473885289680993	10742.927811566973	251.74872429819536	9.384878901377292E-4	8.022054888478944	0.36312274942929623	0.19096998082192979	0.1897697053208334	0.25613756442793945	0.003667512645561198	0.003667512645561185	-284657.4510286616	0.0	-29893.088167150167
2160000	-313206.1732195785	-29895.51464924782	-283310.6585703307	2032.5586648493677	-6.566884027449987	10702.932532878598	255.21468132726247	9.384878901377292E-4	8.032735977727576	0.36327802672348714	0.19037447829094808	0.19149897335883995	0.2548485216267235	0.003679981277376652	0.0036799812773766535	-283310.6585703307	0.0	-29854.9515261646
2190000	-312044.5243780174	-29850.589005224574	-282193.9353727928	2031.9233473529825	-5.9315665310648455	10675.59051426432	247.62113744384692	9.384878901377292E-4	7.882318216280819	0.36475284195194957	0.18818772579835136	0.19098239517038992	0.2560770370793079	0.003665157855102163	0.0036651578551021567	-282193.9353727928	0.0	-29810.347590688303
2220000	-310678.6910430892	-29801.863512880285	-280876.8275302089	2032.3079606717076	-6.316179849789933	10648.271950523465	246.26544025379266	8.382608728798591E-4	8.132113455516295	0.3676509419962483	0.18781411480982005	0.19297023813388278	0.25156470506004763	0.003635800084663929	0.003635800084663935	-280876.8275302089	0.0	-29761.990397022066
2250000	-309169.0684948939	-29726.67181110048	-279442.3966837934	2031.892867216785	-5.901086394867207	10592.936129709908	245.97147453121207	8.382608728798591E-4	8.00097387879868	0.3666996894692141	0.18862255253355473	0.1915386775109937	0.2531390804862362	0.003655847842953215	0.0036558478429532235	-279442.3966837934	0.0	-29686.810935316673
2280000	-308122.36127800733	-29696.674408264043	-278425.6868697433	2032.0894986111518	-6.097717789234139	10583.538512700248	241.15610220041108	8.382608728798591E-4	7.873798365894296	0.3637459464344738	0.1902580633152296	0.18632808756067984	0.25966790268961565	0.0036592935597446123	0.003659293559744586	-278425.6868697433	0.0	-29656.857288100782
2310000	-306277.3561022303	-29622.122508061184	-276655.23359416914	2032.477750515668	-6.485969693750349	10537.744100710033	236.9386876440495	8.382608728798591E-4	7.9150566318805335	0.3689344086073971	0.18925808190825652	0.18683027536057706	0.2549772341237679	0.0036491876677890193	0.0036491876677890193	-276655.23359416914	0.0	-29582.587521694546
2340000	-305061.6849885373	-29584.19448910923	-275477.49049942807	2031.9434322620684	-5.951651440150727	10510.356224888299	228.62880014539502	8.382608728798591E-4	7.939370907052973	0.3638446607496217	0.18994335547365976	0.18975378810107354	0.25645819567564354	0.0036324866797364224	0.0036324866797364176	-275477.49049942807	0.0	-29544.966505419376
